,Date,Open,High,Low,Close,Adj Close,Volume,rsi,macd,macd_signal,bb_bbu,bb_bbl,obv
242,2022-08-31,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,290944041,43.85506870885949,-1.4722773262678856e-07,1.0543241676814772e-07,1.619882230914263e-05,1.0501177816713975e-05,0.0
243,2022-09-01,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,284561703,43.855068708859484,-1.7847078765539013e-07,4.865177588344014e-08,1.620915054946865e-05,1.0390849633483849e-05,0.0
244,2022-09-02,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,295889011,43.85506870885949,-2.0091510953821037e-07,-1.261601200889973e-09,1.6214704485793328e-05,1.0285295754255063e-05,0.0
245,2022-09-03,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,219322329,43.85506870885949,-2.1621006132865187e-07,-4.425129322644237e-08,1.5427907601129902e-05,1.0572092651549555e-05,0.0
246,2022-09-04,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,1.2999999853491317e-05,553998915,54.34296076150747,-1.459573195258311e-07,-6.459249848632012e-08,1.5138420253824816e-05,1.066158002209696e-05,-7791475070.0
247,2022-09-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,1.2999999853491317e-05,322249006,54.34296076150747,-8.925266632603332e-08,-6.952453205426276e-08,1.4451392314235798e-05,1.1048607951074721e-05,0.0
248,2022-09-06,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,502320543,44.666272837113404,-1.2358085320585428e-07,-8.033579628458107e-08,1.3961113884327216e-05,1.1238886461321514e-05,-8293795613.0
249,2022-09-07,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,322581607,44.666272837113404,-1.4906782750298622e-07,-9.408220252826212e-08,1.3713953685251107e-05,1.1286046683639945e-05,0.0
250,2022-09-08,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,323307668,44.666272837113404,-1.6733747599582166e-07,-1.0873325722177405e-07,1.3659610405367893e-05,1.1240390020619053e-05,0.0
251,2022-09-09,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,1.2999999853491317e-05,906904715,54.73358603155855,-9.997228943172132e-08,-1.0698106366376351e-07,1.3659610405367893e-05,1.1240390020619053e-05,-7386890898.0
252,2022-09-10,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,650509216,54.73358603155855,-4.605401176140343e-08,-9.47956532832915e-08,1.3659610405367893e-05,1.1240390020619053e-05,0.0
253,2022-09-11,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,539982450,54.73358603155855,-3.28551487852246e-09,-7.64936256023377e-08,1.3659610405367893e-05,1.1240390020619053e-05,0.0
254,2022-09-12,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,502161292,54.73358603155855,3.026000848867378e-08,-5.5142898784135404e-08,1.3659610405367893e-05,1.1240390020619053e-05,0.0
255,2022-09-13,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,455179755,43.972749966469,-2.3574763731539275e-08,-4.882927177361618e-08,1.3596485897675858e-05,1.1203514585406981e-05,-7842070653.0
256,2022-09-14,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,323663527,43.972749966469,-6.548434579744924e-08,-5.21602865783828e-08,1.3240324408239116e-05,1.1359676098086044e-05,0.0
257,2022-09-15,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,321682028,43.972749966468996,-9.757322808949623e-08,-6.124287488060549e-08,1.3240324408239116e-05,1.1359676098086044e-05,0.0
258,2022-09-16,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,1.2000000424450263e-05,240124971,43.972749966468996,-1.2160214466382478e-07,-7.331472883724936e-08,1.3240324408239116e-05,1.1359676098086044e-05,0.0
259,2022-09-17,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,191744549,43.972749966469,-1.3904243947570912e-07,-8.646027096494132e-08,1.3240324408239116e-05,1.1359676098086044e-05,0.0
260,2022-09-18,1.2000000424450263e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,1.1000000085914508e-05,277027590,34.2257861056606,-2.3089406552973838e-07,-1.1534702987790074e-07,1.335023903402001e-05,1.1149761438451572e-05,-8119098243.0
261,2022-09-19,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,346595419,34.22578610566062,-3.0022631881167194e-07,-1.52322887664655e-07,1.3431173912110245e-05,1.0968826526507762e-05,0.0
262,2022-09-20,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,233231568,34.22578610566062,-3.5112507771941063e-07,-1.9208332567560613e-07,1.349164071522794e-05,1.0808359689536492e-05,0.0
263,2022-09-21,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,345248633,26.804924024559156,-4.6677370401050896e-07,-2.4702140134258676e-07,1.3701155961480231e-05,1.0398844375577051e-05,-8464346876.0
264,2022-09-22,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,1.1000000085914508e-05,216459758,40.66062699857049,-4.722901369740264e-07,-2.920751484688747e-07,1.3716790214178354e-05,1.028321008902535e-05,-8247887118.0
265,2022-09-23,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,337933781,40.66062699857049,-4.7122990482781365e-07,-3.279060997406625e-07,1.3724082471967269e-05,1.0175917797382861e-05,0.0
266,2022-09-24,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,713605265,40.66062699857049,-4.6502909724988127e-07,-3.553306992425063e-07,1.360018806957179e-05,1.0099812223020659e-05,0.0
267,2022-09-25,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,298521657,40.6606269985705,-4.548714377820182e-07,-3.752388469504087e-07,1.3451392789652868e-05,1.0048607526181901e-05,0.0
268,2022-09-26,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,265868938,40.6606269985705,-4.4172943748276674e-07,-3.8853696505688034e-07,1.3429009602209252e-05,9.970990679771939e-06,0.0
269,2022-09-27,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,287760616,40.6606269985705,-4.263990447977621e-07,-3.961093810050568e-07,1.3400188085629759e-05,9.899812162497858e-06,0.0
270,2022-09-28,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,262953706,40.6606269985705,-4.0952880500360777e-07,-3.987932658047671e-07,1.3365159997573023e-05,9.834840216701018e-06,0.0
271,2022-09-29,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,176633140,40.6606269985705,-3.9164438573419816e-07,-3.9736348979065333e-07,1.3154340541720804e-05,9.845659695795556e-06,0.0
272,2022-09-30,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,269203863,40.66062699857049,-3.7316919245169825e-07,-3.925246303228623e-07,1.2907874304357047e-05,9.892125956401631e-06,0.0
273,2022-10-01,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,172808216,40.66062699857049,-3.544416855496802e-07,-3.8490804136822593e-07,1.2613893709724479e-05,9.986106574276521e-06,0.0
274,2022-10-02,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,176957004,40.6606269985705,-3.3572991591904876e-07,-3.7507241627839057e-07,1.2246297235391757e-05,1.0153703071851561e-05,0.0
275,2022-10-03,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,194093013,40.66062699857049,-3.172437155994363e-07,-3.6350667614259976e-07,1.2128721437886154e-05,1.0171278835503589e-05,0.0
